"Cod. Tabla";"Cod.Producto";"Grupo";"Precio Venta";
"500";"005038";"0169";"18,5525";
"500";"005039";"0902";"5840,362";
"500";"005040";"0139";"9126,194";
"500";"005041";"0139";"14554,65";
"500";"005042";"0139";"55648,428";
"500";"005044";"0902";"4837,118";
"500";"005045";"0139";"7570,464";
"500";"005046";"0139";"11920,986";
"500";"005047";"0139";"45594,89";
"500";"005048";"0134";"26,334";
"500";"005049";"0134";"44747,428";
"500";"005052";"0134";"26,334";
"500";"005053";"0134";"37213,088";
"500";"005055";"0134";"186982,664";
"500";"005056";"0134";"178498,342";
"500";"005057";"0134";"121,55";
"500";"005058";"0169";"47,0475";
"500";"005060";"0134";"26,334";
"500";"005061";"0152";"24142,801";
"500";"005062";"0152";"92538,306";
