"Codigo";"Descripcion";"Capacidad";"Grupo";"TS Estandar";
"000229";"ECH8075.900 CATALIZADOR PARA BARNIZ EC800 EHP X 0.946";"000946";"0169";"503";
"000230";"REGULADOR DE AIRE EXPERTO CON MANOMETRO (383074)";"001000";"0180";"503";
"000231";"ALBA ROMBO VERDE DILUY X 4";"004000";"0902";"503";
"000232";"C083-9447 MASILLA UNIV.X 1,5 - (DISCONTINUADO)";"001500";"0902";"503";
"000233";"C083-9447 MASILLA UNIV.X 4 - (DISCONTINUADO)";"004000";"0902";"503";
"000234";"AUTOPOLISH COLORIN AUTOCERA EXPRESS X 0,450";"000450";"0166";"503";
"000235";"PAPEL DAMERO - DOXG1G7";"001000";"0134";"503";
"000236";"T190-9426 CRISTAL NITRO X 4";"004000";"0147";"503";
"000237";"IMPERMEABILIZANTE PARA TECHOS PLAVICON TAPATODO MEMBRANA BLANCO X  5";"005001";"0139";"503";
"000238";"MADERALBA BRILL X 4";"004000";"0902";"503";
"000239";"IMPERMEABILIZANTE PARA TECHOS PLAVICON TAPATODO MEMBRANA BLANCO X 20";"020001";"0139";"503";
"000240";"MADERALBA SATINADA X 4";"004000";"0902";"503";
"000241";"SILICONA FASTIX NEGRO X 280";"000280";"0140";"503";
"000242";"BARNIZ PARA MADERA EXTERIOR ALBATROS BRILLANTE DOBLE VIDA INCOLORO X 1";"001001";"0107";"503";
"000243";"BARNIZ PARA MADERA EXTERIOR ALBATROS BRILLANTE DOBLE VIDA INCOLORO X 4";"004000";"0107";"503";
"000244";"PINTURA PARA PILETA ALBA AL AGUA MATE CELESTE X  4";"004000";"0107";"503";
"000245";"PINCEL ROSARPIN 190 V2 CCH.10";"001000";"0144";"503";
"000246";"PINCEL ROSARPIN 190 V2 CCH.15";"001000";"0144";"503";
"000247";"PINTURA PARA PILETA ALBA AL AGUA MATE BLANCO X 4";"004000";"0107";"503";
"000248";"PINCEL ROSARPIN 190 V2 CCH.20";"001000";"0144";"503";
"000249";"PINCEL ROSARPIN 190 V2 CCH.25";"001000";"0144";"503";
"000250";"PINCEL ROSARPIN 190 V2 CCH.30";"001000";"0144";"503";
"000251";"IMPERMEABILIZANTE PARA TECHOS PLAVICON TAPATODO MEMBRANA ROJO CERAMICO X  5";"005001";"0139";"503";
"000252";"MADERALBA SELLADOR X 4";"004000";"0902";"503";
"000253";"ESMALTE SINTETICO SATINOL SATINADO BLANCO X 20";"020000";"0107";"503";
"000254";"ENTONADOR UNIVERSAL TONALBA 012 MARRON X 0,030";"000030";"0107";"503";
"000255";"ENTONADOR UNIVERSAL TONALBA 012 MARRON X 0,120";"000120";"0107";"503";
"000256";"SILICONA FASTIX TRANSPARENTE X 280";"000280";"0140";"503";
"000257";"SILICONA FASTIX BLANCO X 290";"000290";"0140";"503";
"000258";"ESMALTE SINTETICO PARA PIZARRON ALBA MATE NEGRO X 0,500";"000500";"0107";"503";
"000259";"ESMALTE SINTETICO PARA PIZARRON ALBA MATE NEGRO X 1";"001001";"0107";"503";
"000260";"IMPERMEABILIZANTE PARA TECHOS PLAVICON TAPATODO MEMBRANA ROJO CERAMICO X 20";"020001";"0139";"503";
"000261";"ESMALTE SINTETICO PARA PIZARRON ALBA MATE VERDE X 1";"001001";"0107";"503";
"000262";"ESMALTE SINTETICO ALBAMATE MATE BLANCO X  1";"001001";"0107";"503";
"000263";"ESMALTE SINTETICO ALBAMATE MATE BLANCO X  4";"004000";"0107";"503";
"000264";"COLA PAPEL COLVINIL X 1";"001001";"0119";"503";
"000265";"COLA PAPEL COLVINIL X 4";"004000";"0119";"503";
"000266";"COLA VINILICA COLVINIL 04 X 10";"010000";"0119";"503";
"000267";"COLA VINILICA COLVINIL 04 X 22";"022001";"0119";"503";
"000268";"AUTOPOLISH COLORIN ECOLOGIO X 0,450";"000450";"0166";"503";
"000269";"AUTOPOLISH COLORIN LIMPIADOR DESENGRASANTE X 0,500";"000500";"0166";"503";
"000270";"ESMALTE SINTETICO ALBAMATE MATE BLANCO X 20";"020000";"0107";"503";
"000271";"PROTECTOR PARA LADRILLO COLORIN CERAMICO X  1";"001001";"0116";"503";
"000272";"ESMALTE SINTETICO PLAVICON 3EN1 BRILLANTE NEGRO X  0,250";"000250";"0902";"503";
"000273";"REMOVEDOR DE PINTURA DIXILINA REMODIX LIQUIDO X 1";"001001";"0120";"503";
"000274";"ESMALTE SINTETICO PLAVICON 3EN1 BRILLANTE NEGRO X  0,500";"000500";"0139";"503";
"000275";"V21.11 BARNIZ HS ACS EVOLUTION X 0.900";"000900";"0132";"503";
"000276";"REPUESTO MINI FOAM  8CM(RO1108)";"001000";"0165";"503";
"000277";"REPUESTO MINI FOAM 10CM(RO110)";"001000";"0165";"503";
"000278";"ESMALTE SINTETICO PLAVICON 3EN1 BRILLANTE NEGRO X  1";"001001";"0139";"503";
"000279";"IMPRIMACION FIJADORA ALBA AL AGUA X  1";"001001";"0107";"503";
"000280";"IMPRIMACION FIJADORA ALBA AL AGUA X  4";"004000";"0107";"503";
"000281";"IMPRIMACION FIJADORA ALBA AL AGUA X 10";"010000";"0107";"503";
"000282";"IMPRIMACION FIJADORA ALBA AL AGUA X 20";"020000";"0107";"503";
"000283";"ESMALTE SINTETICO PLAVICON 3EN1 BRILLANTE NEGRO X  4";"004000";"0139";"503";
"000284";"FERRO BET CONV ROJO X  0,250";"000250";"0123";"503";
